Longitude,Latitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus
25.482222,-31.903056,03-12-2012,106.80757,367.78705,37.91391
25.482222,-31.903056,08-03-2011,111.17919,394.58163,41.68906
25.482222,-31.903056,19-05-2014,117.422424,434.3928,47.204197
25.482222,-31.903056,25-04-2012,123.97892,478.75293,52.898487
25.43,-31.905,03-11-2014,105.80889,362.547,37.112465
25.43,-31.905,04-03-2013,109.62258,387.07874,40.25155
25.43,-31.905,06-07-2011,115.567,427.20923,45.591747
25.43,-31.905,07-10-2013,127.7202,504.76355,52.57129
25.43,-31.905,10-09-2013,143.80415,608.90234,55.667057
25.43,-31.905,12-03-2012,138.03671,574.8403,56.15652
25.43,-31.905,14-08-2013,141.65672,596.38574,55.96879
25.43,-31.905,17-07-2013,144.90927,608.4302,56.69958
25.43,-31.905,19-05-2014,138.05223,573.4076,57.002323
25.43,-31.905,28-12-2015,137.5927,572.30676,56.82664
25.43,-31.905,29-04-2014,142.66638,609.28107,57.540127
28.58166667,-32.00055556,01-10-2014,102.28435,341.29135,36.536083
28.58166667,-32.00055556,03-09-2014,102.71431,346.5158,39.637928
28.58166667,-32.00055556,04-06-2014,102.48715,349.07147,42.853043
28.58166667,-32.00055556,06-07-2011,102.88467,357.09186,47.762447
28.58166667,-32.00055556,06-08-2014,105.62531,387.25702,56.31815
28.58166667,-32.00055556,08-05-2013,103.12142,360.6748,50.232452
28.58166667,-32.00055556,09-04-2014,101.16505,339.29913,43.8324
28.58166667,-32.00055556,09-07-2014,102.32199,347.72568,44.530624
28.58166667,-32.00055556,19-01-2011,102.96478,353.28888,47.74752
28.58166667,-32.00055556,21-11-2012,102.953804,347.48468,45.3145
28.58166667,-32.00055556,29-10-2014,104.34294,360.09348,48.331467
27.822778,-32.043333,01-09-2014,102.73331,344.51837,34.966576
27.822778,-32.043333,02-06-2014,101.50054,337.85275,34.236317
27.822778,-32.043333,04-02-2014,100.134865,329.7098,33.497192
27.822778,-32.043333,04-06-2012,98.649376,321.63446,32.005753
27.822778,-32.043333,04-07-2011,96.93728,313.0724,29.933422
27.822778,-32.043333,04-08-2014,95.94412,305.13245,28.430511
27.822778,-32.043333,07-04-2014,96.086685,305.1964,29.375887
27.822778,-32.043333,07-05-2012,96.20169,306.18527,29.800367
27.822778,-32.043333,07-07-2014,96.51519,308.56915,29.659706
27.822778,-32.043333,09-05-2011,97.00709,310.87735,30.163706
27.822778,-32.043333,11-04-2011,95.53062,299.55487,28.464548
27.822778,-32.043333,12-05-2014,95.259735,297.97647,28.303755
27.822778,-32.043333,13-07-2015,96.942085,309.40253,29.504696
27.822778,-32.043333,19-11-2012,98.56045,318.7509,31.002028
27.822778,-32.043333,21-10-2013,100.29891,330.3531,32.306576
27.822778,-32.043333,27-10-2014,102.50619,345.22397,34.601696
27.822778,-32.043333,28-09-2015,106.50434,372.25354,38.3047
27.822778,-32.043333,29-09-2014,105.66588,366.42966,36.492794
25.57556,-32.08639,03-12-2012,106.58146,366.5725,37.832375
